ISIN;ISIN-Bezeichnung;Verwaltungsgesellschaft;OeNB-Identnummer;LEI;LEI-Status;Wrapper;ISIN-Status;Laufzeitende
AT0000702519;UNIQA Wachstum (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;8471592;529900QJS5ES8I6NUL53;ISSUED;1920;A;
AT0000702667;FOCUS Ausgewogen (IT);IQAM Invest GmbH;8464162;529900TFKTJDSBPVW019;ISSUED;1981;A;
AT0000702873;GF 190 (Großanlegerfonds);Amundi Austria GmbH;8081476;213800YHNWBMQIWULA93;ISSUED;1952;A;
AT0000702899;SparTrust 1828 (A);IQAM Invest GmbH;7269110;529900KO66LZ3LVX6V13;ISSUED;1978;A;
AT0000703020;SAM08;Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;8038503;;;1947;A;
AT0000703103;TOP-Fonds IV "Der Planende" der Steiermärkischen Sparkasse;Erste Asset Management GmbH;7526717;529900YI369B0O2RNO02;ISSUED;1955;A;
AT0000703111;TOP-Fonds IV "Der Planende" der Steiermärkischen Sparkasse;Erste Asset Management GmbH;7526717;529900YI369B0O2RNO02;ISSUED;1955;A;
AT0000703137;TOP-Fonds V "Der Offensive" der Steiermärkischen Sparkasse;Erste Asset Management GmbH;7526709;52990007OJP8QTXI7B45;ISSUED;1956;A;
AT0000703491;PIZ BUIN GLOBAL;Erste Asset Management GmbH;7527900;529900ZBVF8RQUPQSD22;ISSUED;1908;A;
AT0000703509;PIZ BUIN GLOBAL;Erste Asset Management GmbH;7527900;529900ZBVF8RQUPQSD22;ISSUED;1908;A;
AT0000703665;Sirius 29;Gutmann Kapitalanlagegesellschaft m.b.H;8471363;52990012V9Y4ECDVFT81;ISSUED;1807;A;
AT0000703681;VKB Aktien Plus (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;8471622;529900AUQ26VDEPZUD36;ISSUED;1864;A;
AT0000704168;F&C;LLB Invest Kapitalanlagegesellschaft m.b.H.;8465835;529900Y4QYSBNWZSYV56;ISSUED;1814;A;
AT0000704176;DWS (Austria) Vermögensbildungsfonds;Erste Asset Management GmbH;7290829;529900PZX1NI71EYHI50;ISSUED;1845;A;
AT0000704317;K 77;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8102953;52990006NZHTTRAYQX97;ISSUED;1938;A;
AT0000704333;ERSTE STOCK ISTANBUL EUR R01 (A);Erste Asset Management GmbH;7525150;529900H75NQB6QF06580;ISSUED;1869;A;
AT0000704341;ERSTE STOCK ISTANBUL EUR R01 (T);Erste Asset Management GmbH;7525150;529900H75NQB6QF06580;ISSUED;1869;A;
AT0000704366;R 130-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8494975;529900UVVNY1UY3OOQ87;ISSUED;1872;A;
AT0000704374;Amundi Öko Sozial Dollar Bond;Amundi Austria GmbH;7270631;213800QJ4QN4FTVKUI79;ISSUED;59;A;
AT0000704424;WFF 1 (A);IQAM Invest GmbH;8233063;529900DSR10SFEUBAX74;ISSUED;1923;A;
AT0000704564;Constantia Multi Invest 70;LLB Invest Kapitalanlagegesellschaft m.b.H.;8463719;5299009O7UZHBP19BF21;ISSUED;1857;A;
AT0000705660;ERSTE WWF STOCK ENVIRONMENT EUR R01;Erste Asset Management GmbH;7525257;529900DRC2E5XBKYNR12;ISSUED;1824;A;
AT0000705678;ERSTE WWF STOCK ENVIRONMENT EUR R01;Erste Asset Management GmbH;7525257;529900DRC2E5XBKYNR12;ISSUED;1824;A;
AT0000706320;LLB Strategie Total Return Rendite;LLB Invest Kapitalanlagegesellschaft m.b.H.;7550260;5299004UWYG82WPQCT35;ISSUED;1767;A;
AT0000706338;LLB Strategie Total Return Rendite;LLB Invest Kapitalanlagegesellschaft m.b.H.;7550260;5299004UWYG82WPQCT35;ISSUED;1767;A;
AT0000706346;SemperOwners Portfolio Balanced;LLB Invest Kapitalanlagegesellschaft m.b.H.;7550294;529900R87ZGL1HXU7810;ISSUED;1768;A;
AT0000706353;SemperOwners Portfolio Balanced;LLB Invest Kapitalanlagegesellschaft m.b.H.;7550294;529900R87ZGL1HXU7810;ISSUED;1768;A;
AT0000706486;M2000;Erste Asset Management GmbH;6825400;529900JUWSEGLPSCAD13;ISSUED;1782;A;
AT0000706734;Amundi Öko Sozial Euro Corporate Bond;Amundi Austria GmbH;7270321;213800K1N1CQ227NCM16;ISSUED;1834;A;
AT0000706767;LLB Portfolio Aktien Dynamisch (I);LLB Invest Kapitalanlagegesellschaft m.b.H.;8466904;5299005ADVYRQC1EBM02;ISSUED;1761;A;
AT0000706775;SF19;LLB Invest Kapitalanlagegesellschaft m.b.H.;8493200;529900310AX5PHOH6Y71;ISSUED;1773;A;
AT0000706791;S1000P;LLB Invest Kapitalanlagegesellschaft m.b.H.;8397317;529900HY5G3LLCI1H794;ISSUED;1762;A;
AT0000707096;Dachfonds Südtirol (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7886799;529900U0G5YNZWF17Y16;ISSUED;1771;A;
AT0000707385;Raiffeisen-PAXetBONUM-Anleihen (R) (A);Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7833865;5299004MIPGQSBAX4L46;ISSUED;2352;A;
AT0000707393;Raiffeisen-PAXetBONUM-Anleihen (R) (T);Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7833865;5299004MIPGQSBAX4L46;ISSUED;2352;A;
AT0000707401;VPI World Invest;LLB Invest Kapitalanlagegesellschaft m.b.H.;8266689;5299003G68IFPJ50AT57;ISSUED;2445;A;
AT0000707526;Portfolio Management DYNAMISCH (A);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8106703;529900NKDJ704CF8SZ33;ISSUED;1725;A;
AT0000707534;Portfolio Management DYNAMISCH (T);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8106703;529900NKDJ704CF8SZ33;ISSUED;1725;A;
