ISIN;ISIN-Bezeichnung;Verwaltungsgesellschaft;OeNB-Identnummer;LEI;LEI-Status;Wrapper;ISIN-Status;Laufzeitende
AT0000A1GYH0;WSS Wertpapier- und Optionsstrategie;LLB Invest Kapitalanlagegesellschaft m.b.H.;18816843;529900XI66BR91HQMZ83;ISSUED;4905;A;
AT0000A1H542;Kathrein Yield + (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8492395;5299009MWH3YH53DFG31;ISSUED;3360;A;
AT0000A1H575;SEVERN II;3 Banken-Generali Investment-Gesellschaft m.b.H.;18892728;529900PDQ1NODMB91J14;ISSUED;4910;A;
AT0000A1H591;Gutmann USD Mid-Term Bonds (USD) (A);Gutmann Kapitalanlagegesellschaft m.b.H;18900321;529900YN1YNX5G37XT57;ISSUED;4911;A;
AT0000A1H5J6;Active World Portfolio (IT) (T);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;10774238;529900I9XYGAVG5Z5431;ISSUED;4256;A;
AT0000A1H682;C-QUADRAT ARTS Best Momentum (PLN) (VA);Ampega Investment GmbH (AT-Fonds);8423539;529900LX8OB3DZJQ3K52;ISSUED;1089;A;
AT0000A1H690;C-QUADRAT ARTS Total Return Bond (PLN) (VA);Ampega Investment GmbH (AT-Fonds);8423601;529900A9BPR8MV42CI17;ISSUED;2414;A;
AT0000A1H6A3;C-QUADRAT ARTS Total Ret. Balanced (PLN) (VA);Ampega Investment GmbH (AT-Fonds);8423610;5299003BG98OI9OJQG18;ISSUED;2413;A;
AT0000A1HC11;OBK 48;3 Banken-Generali Investment-Gesellschaft m.b.H.;18914136;529900KF5045CS2GZH90;ISSUED;4913;A;
AT0000A1HG17;R-Südtirol;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;18944949;529900OHKMCT5QS54B96;ISSUED;4917;A;
AT0000A1HG25;Energie Ried Pensionsfonds;LLB Invest Kapitalanlagegesellschaft m.b.H.;18944957;5299009RSOH4J4SDEH93;ISSUED;4916;A;
AT0000A1HGA0;Henviro 2 (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;11081082;5299005T2ZMYHC9ZTR83;ISSUED;4318;A;
AT0000A1HGW4;Tury Vermögensverwaltung;LLB Invest Kapitalanlagegesellschaft m.b.H.;8460299;529900N2HG7DXJAC0F86;ISSUED;392;A;
AT0000A1HHB6;Sirius 119;Gutmann Kapitalanlagegesellschaft m.b.H;18969992;5299009V1V8OMPDPUA28;ISSUED;4918;A;
AT0000A1HN34;KEPLER Vorsorge Rentenfonds (IT) (A);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8106630;529900KBJSMPT1XGFS09;ISSUED;519;A;
AT0000A1HQD3;OBK 53;3 Banken-Generali Investment-Gesellschaft m.b.H.;19002580;529900P3AAQV889JCV59;ISSUED;4919;A;
AT0000A1HQE1;OBK 58;3 Banken-Generali Investment-Gesellschaft m.b.H.;19002572;5299006TN757JB7BCA72;ISSUED;4920;A;
AT0000A1HRK6;Constantia Multi Invest 146;LLB Invest Kapitalanlagegesellschaft m.b.H.;19016212;529900VDPITAYWVMX681;ISSUED;4923;A;
AT0000A1HSE7;Valida Anleihen EmergingMarkets N 2;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19019645;529900Z7LC8G8HDOTP83;ISSUED;4924;A;
AT0000A1HSG2;KEPLER Ethik Aktienfonds (IT) (A);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8105863;529900CYMXIUBNJNNM37;ISSUED;2145;A;
AT0000A1HUH6;OBK 54;3 Banken-Generali Investment-Gesellschaft m.b.H.;19042574;529900C3Q1N7CB3ZYU98;ISSUED;4925;A;
AT0000A1J2C6;Lakeview Fund;LLB Invest Kapitalanlagegesellschaft m.b.H.;19059655;5299008MIQZF1I7WSH50;ISSUED;4929;A;
AT0000A1JU17;Raiffeisen Global Income (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19088574;5299008AYKWOX4FF8R60;ISSUED;4933;A;
AT0000A1JU25;Raiffeisen Global Income (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19088574;5299008AYKWOX4FF8R60;ISSUED;4933;A;
AT0000A1JU33;Raiffeisen Global Income (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19088574;5299008AYKWOX4FF8R60;ISSUED;4933;A;
AT0000A1JU41;Raiffeisen Global Income (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19088574;5299008AYKWOX4FF8R60;ISSUED;4933;A;
AT0000A1JU58;Raiffeisen Global Income (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19088574;5299008AYKWOX4FF8R60;ISSUED;4933;A;
AT0000A1JU66;Raiffeisen Global Income(I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19088574;5299008AYKWOX4FF8R60;ISSUED;4933;A;
AT0000A1JU74;Raiffeisen Global Income (S) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19088574;5299008AYKWOX4FF8R60;ISSUED;4933;A;
AT0000A1JWY3;Dr. Peterreins Global Strategy Fonds (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;8266700;529900ZA4A1XBCT9F769;ISSUED;3415;A;
AT0000A1JXX3;Valida Fonds KON;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19125003;529900H5OYZFLFK02730;ISSUED;4937;A;
AT0000A1K7Q2;E 2016;Erste Asset Management GmbH;19143044;5299009YI403TS972T15;ISSUED;4939;A;
AT0000A1KJN1;Valida Anleihen EmergingMarkets N 1;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19194161;529900UCL3SIVDOL7820;ISSUED;4942;A;
AT0000A1KJQ4;MF 43;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;19194170;529900O59B73WHYMVP47;ISSUED;4943;A;
AT0000A1KJU6;K 222;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;19197020;52990011PBPSAE33LS74;ISSUED;4944;A;
AT0000A1KK99;Raiffeisen-EmergingMarkets-ESG-Transformation-Rent (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7320981;529900SZQ8CESIKFB921;ISSUED;2405;A;
AT0000A1KKA6;Raiffeisen-Osteuropa-Rent (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7165390;5299000693CSIRT0BH73;ISSUED;1005;A;
AT0000A1KKC2;Raiffeisen-GreenBonds (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;18646670;529900G72T0PJFIFLI22;ISSUED;4876;A;
AT0000A1KKL3;VBV VK SR Immobilienfonds (T);LLB Immo Kapitalanlagegesellschaft m.b.H.;19203403;529900VWPF2807Q1QF47;ISSUED;4945;A;
AT0000A1KKQ2;Valida Anleihen HighYield N 2;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19215657;529900YFEWSJ5R7GJY23;ISSUED;4948;A;
AT0000A1KKS8;E 300;Erste Asset Management GmbH;19215673;529900MTLW8TENVZ1568;ISSUED;4947;A;
AT0000A1KKT6;SFC Global Balanced (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;8648751;529900RVFGE29VGITJ32;ISSUED;3662;A;
AT0000A1KKU4;GPK-Stock;3 Banken-Generali Investment-Gesellschaft m.b.H.;19215665;529900ESKOYNVQK1U637;ISSUED;4946;A;
AT0000A1KT09;Sirius 120;Gutmann Kapitalanlagegesellschaft m.b.H;19260253;5299001FZH12XIYXVX68;ISSUED;4950;A;
AT0000A1KT17;Sirius 121 (USD A1);Gutmann Kapitalanlagegesellschaft m.b.H;19260261;529900O6P4ZVDGNU1L79;ISSUED;4951;A;
AT0000A1KT41;Aquila 118;Gutmann Kapitalanlagegesellschaft m.b.H;19260296;529900BFEC1ST77YTD40;ISSUED;4954;A;
AT0000A1KT82;FlexProtection Secure 16;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19260288;5299004ZJX7GJ9228L53;ISSUED;4957;A;
AT0000A1KTN0;Schoellerbank Aktienfonds Dividende (A);Schoellerbank Invest AG;19264020;529900CSN06LBL7QEF32;ISSUED;4958;A;
AT0000A1KTP5;Schoellerbank Aktienfonds Dividende (T);Schoellerbank Invest AG;19264020;529900CSN06LBL7QEF32;ISSUED;4958;A;
AT0000A1KTU5;Amundi Öko Sozial Mix dynamisch;Amundi Austria GmbH;19276877;213800M2ERS4I5W18D20;ISSUED;4959;A;
AT0000A1KV13;Raiffeisen Gewinnfreibetrag Anleihen (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7173148;529900J1C6METMOAYC35;ISSUED;140;A;
AT0000A1KV21;Raiffeisen Gewinnfreibetrag Mix (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7173318;5299009JQMXLHMYS7464;ISSUED;572;A;
AT0000A1KV39;Raiffeisen Gewinnfreibetrag Solide (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7966083;529900MH837CR9U4OE67;ISSUED;1545;A;
AT0000A1KWR5;Avaris (USD) (VT);Gutmann Kapitalanlagegesellschaft m.b.H;9903356;529900LVYKTLXI7PK927;ISSUED;4088;A;
AT0000A1KWX3;KONZEPT : ERTRAG 2025;Amundi Austria GmbH;19313780;5299006V5JJKFLCXAE56;ISSUED;4961;A;2025.12.30
AT0000A1L8Z0;s Top AktienWelt (A);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;19406266;5299000HIK4N5HHY3B77;ISSUED;4967;A;
AT0000A1L908;s Top AktienWelt (T);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;19406266;5299000HIK4N5HHY3B77;ISSUED;4967;A;
AT0000A1LJC2;LLB Portfolio Renten Dachfonds (I);LLB Invest Kapitalanlagegesellschaft m.b.H.;10948457;5299009JJURB1GYZ9B74;ISSUED;4302;A;
AT0000A1LJD0;LLB Portfolio Selektion (I);LLB Invest Kapitalanlagegesellschaft m.b.H.;10223436;5299005MZ0J7U1X40274;ISSUED;4191;A;
AT0000A1LJE8;LLB Portfolio Aktien Alternativ Dachfonds (I);LLB Invest Kapitalanlagegesellschaft m.b.H.;10948465;529900KSS7MJ0MS96A19;ISSUED;4301;A;
AT0000A1LJG3;LLB Portfolio Aktien International Dachfonds (I);LLB Invest Kapitalanlagegesellschaft m.b.H.;10948481;529900DX51LFXHRM7135;ISSUED;4300;A;
AT0000A1LJX8;Amundi GF Euro Rent;Amundi Austria GmbH;7272863;213800H72SXS193C4Z10;ISSUED;55;A;
AT0000A1LK64;LLB Aktien Global;LLB Invest Kapitalanlagegesellschaft m.b.H.;19483031;529900CFCX91R5RMGJ66;ISSUED;4969;A;
AT0000A1LK72;LLB Aktien Global;LLB Invest Kapitalanlagegesellschaft m.b.H.;19483031;529900CFCX91R5RMGJ66;ISSUED;4969;A;
AT0000A1LK80;LLB Aktien Global;LLB Invest Kapitalanlagegesellschaft m.b.H.;19483031;529900CFCX91R5RMGJ66;ISSUED;4969;A;
AT0000A1LKD8;M1000;LLB Invest Kapitalanlagegesellschaft m.b.H.;19485190;529900V74PK4KJKGN560;ISSUED;4970;A;
AT0000A1LLZ9;K 414;Erste Asset Management GmbH;19504616;529900IHVMQ3V1EW8I03;ISSUED;4971;A;
AT0000A1LN53;WIGÜ (VT);Allianz Invest Kapitalanlagegesellschaft mbH;19514867;529900R8ZS2ZXFACRG55;ISSUED;4972;A;
AT0000A1LN61;Equitable;LLB Invest Kapitalanlagegesellschaft m.b.H.;19514875;529900P4MUKPC6BYBI33;ISSUED;4973;A;
AT0000A1LNT8;ERSTE RESPONSIBLE IMMOBILIENFONDS EUR R01 (A);ERSTE Immobilien Kapitalanlagegesellschaft m.b.H.;19526326;529900THIKHDRSA6FL72;ISSUED;4974;A;
AT0000A1LNU6;ERSTE RESPONSIBLE IMMOBILIENFONDS EUR R01 (T);ERSTE Immobilien Kapitalanlagegesellschaft m.b.H.;19526326;529900THIKHDRSA6FL72;ISSUED;4974;A;
AT0000A1LNV4;Alpen Privatbank Aktienstrategie (IT) (T);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8097992;529900PFQ93VLG6OQ473;ISSUED;1234;A;
AT0000A1LX93;Avantgarde Global Equity Fonds EUR R01;Erste Asset Management GmbH;7557612;529900KJ2WHXWMJBRT80;ISSUED;1314;A;
AT0000A1N9K8;U 100;Erste Asset Management GmbH;19609868;5299009PMYYKTTDV7A55;ISSUED;4978;A;
AT0000A1N9M4;Gutmann US Dividends (USD) (A);Gutmann Kapitalanlagegesellschaft m.b.H;10920935;5299001XP7W9VAF8B867;ISSUED;4296;A;
AT0000A1NA98;Valida Fonds 15;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19639120;5299007PKMQYCXS8DN60;ISSUED;4980;A;
AT0000A1NAB9;Valida EM Corp N 1;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19640064;5299006X0LAT6YT4JX22;ISSUED;4981;A;
AT0000A1NAF0;Raiffeisen-Nachhaltigkeit-PIC + PAC;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19643764;529900X98VEB7JBKQF64;ISSUED;4982;A;
AT0000A1NB63;Macquarie Euro Corporate Bond Fund;LLB Invest Kapitalanlagegesellschaft m.b.H.;19651589;529900MPFZNRE9XYQR48;ISSUED;4984;A;
AT0000A1NEP1;GKSP1;LLB Invest Kapitalanlagegesellschaft m.b.H.;19662130;529900GZEP0WDFB60Z42;ISSUED;4986;A;
AT0000A1NKF9;Generali Zukunftsvorsorge LC 2027;3 Banken-Generali Investment-Gesellschaft m.b.H.;19677790;529900TYLMHI3UDSDO17;ISSUED;4987;A;
AT0000A1NQS9;Apollo 2 Global Bond (A3) (A);Security Kapitalanlage Aktiengesellschaft;8506841;5299003RB0694978LH72;ISSUED;43;A;
AT0000A1NQT7;Apollo Euro Corporate Bond ESG (A3) (A);Security Kapitalanlage Aktiengesellschaft;6700756;529900ULJIBMTOFWPN50;ISSUED;637;A;
AT0000A1NQU5;Apollo Muendel Bond ESG (A3) (A);Security Kapitalanlage Aktiengesellschaft;8506914;529900HHWM4BZLK5OZ80;ISSUED;226;A;
AT0000A1NQV3;Apollo Global Bond ESG (A3) (A);Security Kapitalanlage Aktiengesellschaft;17050855;529900T8EADS7OISOE86;ISSUED;4650;A;
AT0000A1NQW1;Apollo New World (A3) (A);Security Kapitalanlage Aktiengesellschaft;8506949;529900M9US4JZBRMNM84;ISSUED;375;A;
AT0000A1NQX9;Apollo High Yield Bond ESG (A3)  (A);Security Kapitalanlage Aktiengesellschaft;8358982;529900Z2B9838YBQ9Y61;ISSUED;431;A;
AT0000A1NRA5;Valida Anleihen EmergingMarkets 1;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19712405;529900VYE5J3A3NFCN33;ISSUED;4989;A;
AT0000A1NU78;THESTE1 (T);Allianz Invest Kapitalanlagegesellschaft mbH;19723563;5299004T8JZGPDH5CV31;ISSUED;4990;A;
AT0000A1NX67;SmartSelection - Global Ausgeglichene Strategie;Amundi Austria GmbH;19736550;529900OK7VY7TJ3ASN57;ISSUED;4991;A;
AT0000A1P0L3;Albatros (I);LLB Invest Kapitalanlagegesellschaft m.b.H.;8541116;529900YQE266L7F1D464;ISSUED;3597;A;
AT0000A1PBN7;DSC USD Bond Fund (USD) (A);Gutmann Kapitalanlagegesellschaft m.b.H;19780486;529900PV1GNZ8LYT6Q34;ISSUED;4993;A;
AT0000A1PBP2;DSC USD Bond Fund (USD) (AA);Gutmann Kapitalanlagegesellschaft m.b.H;19780486;529900PV1GNZ8LYT6Q34;ISSUED;4993;A;
AT0000A1PC37;Raiffeisen-ESG-Euro-Rendite (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19791399;529900OHAFEK5E595Z26;ISSUED;4994;A;
AT0000A1PC45;Raiffeisen-ESG-Euro-Rendite (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19791399;529900OHAFEK5E595Z26;ISSUED;4994;A;
AT0000A1PC52;Raiffeisen-ESG-Euro-Rendite (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19791399;529900OHAFEK5E595Z26;ISSUED;4994;A;
AT0000A1PC60;Raiffeisen-ESG-Euro-Rendite (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19791399;529900OHAFEK5E595Z26;ISSUED;4994;A;
AT0000A1PC78;Raiffeisen-ESG-Euro-Rendite (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19791399;529900OHAFEK5E595Z26;ISSUED;4994;A;
AT0000A1PC86;Raiffeisen-ESG-Euro-Rendite (S) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19791399;529900OHAFEK5E595Z26;ISSUED;4994;A;
AT0000A1PCG9;DSC USD Bond Fund (CHF) (A);Gutmann Kapitalanlagegesellschaft m.b.H;19780486;529900PV1GNZ8LYT6Q34;ISSUED;4993;A;
AT0000A1PCH7;DSC USD Bond Fund (CHF) (AA);Gutmann Kapitalanlagegesellschaft m.b.H;19780486;529900PV1GNZ8LYT6Q34;ISSUED;4993;A;
AT0000A1PDA0;KONZEPT : ERTRAG 2027;Amundi Austria GmbH;19813139;529900Q4VBG3NN7CHM30;ISSUED;4995;A;2028.01.03
AT0000A1PDV6;SmartSelection - Global Ausgeglichene Strategie;Amundi Austria GmbH;19736550;529900OK7VY7TJ3ASN57;ISSUED;4991;A;
AT0000A1PE27;K 2536;Erste Asset Management GmbH;19819382;529900M3RD5DLH3D2489;ISSUED;4996;A;
AT0000A1PK37;Raiffeisen-RC6 T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19839235;529900WSBN6KH127NQ26;ISSUED;4997;A;
AT0000A1PK45;Raiffeisen-RC6 A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19839235;529900WSBN6KH127NQ26;ISSUED;4997;A;
AT0000A1PKL2;ERSTE BOND CORPORATE PLUS EUR R01;Erste Asset Management GmbH;19841574;529900CFDCL8QRP3S030;ISSUED;4999;A;
AT0000A1PKM0;ERSTE BOND CORPORATE PLUS EUR R01;Erste Asset Management GmbH;19841574;529900CFDCL8QRP3S030;ISSUED;4999;A;
AT0000A1PKN8;ERSTE BOND CORPORATE PLUS EUR R01;Erste Asset Management GmbH;19841574;529900CFDCL8QRP3S030;ISSUED;4999;A;
AT0000A1PKP3;Raiffeisen-Nachhaltigkeit-Momentum (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19841582;529900QK6MEXFY248Z50;ISSUED;5000;A;
AT0000A1PKQ1;Raiffeisen-Nachhaltigkeit-Momentum (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19841582;529900QK6MEXFY248Z50;ISSUED;5000;A;
AT0000A1PKR9;Raiffeisen-Nachhaltigkeit-Momentum (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19841582;529900QK6MEXFY248Z50;ISSUED;5000;A;
AT0000A1PKS7;Raiffeisen-Nachhaltigkeit-Momentum (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19841582;529900QK6MEXFY248Z50;ISSUED;5000;A;
AT0000A1PKT5;Raiffeisen-Nachhaltigkeit-Momentum (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;19841582;529900QK6MEXFY248Z50;ISSUED;5000;A;
AT0000A1PLA3;Schoellerbank SF 17;Schoellerbank Invest AG;19860501;529900X19MAXQSUK2K29;ISSUED;5001;A;
AT0000A1PND3;FokusLife ausgewogen;Amundi Austria GmbH;19878877;2138001OWY6A435KM870;ISSUED;5002;A;
AT0000A1PNE1;FokusLife ertragsorientiert;Amundi Austria GmbH;19878869;213800LRN5KNTN2GWH90;ISSUED;5003;A;
AT0000A1PNF8;FokusLife wachstumsorientiert;Amundi Austria GmbH;19878850;213800ZB7OOXZ61V5A58;ISSUED;5004;A;
AT0000A1PUJ5;St. Hemma A2;Gutmann Kapitalanlagegesellschaft m.b.H;19892012;529900IGA1U1R16GME66;ISSUED;5005;A;
AT0000A1PUU2;Hypo K 36;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;19901542;5299001Q5Z8O9JGEAN24;ISSUED;5007;A;
AT0000A1PY31;Kathrein ESG Bond Select (I1) (T);MASTERINVEST Kapitalanlage GmbH;19920962;529900FT4DNDJPB2B810;ISSUED;5009;A;
AT0000A1PY56;ERSTE RESPONSIBLE BOND EM CORPORATE EUR I01;Erste Asset Management GmbH;17024609;529900IDV9FPT9SI8R60;ISSUED;4643;A;
AT0000A1Q5Q0;OBK H1;3 Banken-Generali Investment-Gesellschaft m.b.H.;19949340;5299008MH0V7BTKNUQ90;ISSUED;5011;A;
AT0000A1Q5S6;Der Vermögensverwalter;LLB Invest Kapitalanlagegesellschaft m.b.H.;19953623;52990084CJ53Q3FGLU63;ISSUED;5012;A;
AT0000A1Q5X6;Der Vermögensverwalter;LLB Invest Kapitalanlagegesellschaft m.b.H.;19953623;52990084CJ53Q3FGLU63;ISSUED;5012;A;
AT0000A1QA38;Standortfonds Österreich (A);IQAM Invest GmbH;19967098;52990034IOG0MDHM0A90;ISSUED;5013;A;
AT0000A1QA61;ERSTE RESPONSIBLE STOCK DIVIDEND EUR R01;Erste Asset Management GmbH;19968264;529900ZJC0AHAN0GZQ81;ISSUED;5014;A;
AT0000A1QA79;ERSTE RESPONSIBLE STOCK DIVIDEND EUR R01;Erste Asset Management GmbH;19968264;529900ZJC0AHAN0GZQ81;ISSUED;5014;A;
AT0000A1QA87;ERSTE RESPONSIBLE STOCK DIVIDEND EUR R01;Erste Asset Management GmbH;19968264;529900ZJC0AHAN0GZQ81;ISSUED;5014;A;
AT0000A1QCR4;Gutmann Core Equities (USD) (T);Gutmann Kapitalanlagegesellschaft m.b.H;8462380;529900U9TB7C9DE2VT87;ISSUED;1023;A;
AT0000A1QCS2;BTV 27;3 Banken-Generali Investment-Gesellschaft m.b.H.;19990090;529900G3FQMBZY27FZ54;ISSUED;5015;A;
AT0000A1QDV4;Amundi Select Europe Stock - VM;Amundi Austria GmbH;7271280;213800PEDZKMW7JC9H18;ISSUED;18;A;
AT0000A1QDW2;Gutmann Euro Bonds (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;8462330;529900KFCW8RW0IA8P31;ISSUED;44;A;
AT0000A1QDX0;Gutmann International Bonds (T) (EUR);Gutmann Kapitalanlagegesellschaft m.b.H;7788240;529900M10M9IJMX83B41;ISSUED;45;A;
AT0000A1QDY8;E21;LLB Invest Kapitalanlagegesellschaft m.b.H.;20005296;529900KEF7B3Z0FZW394;ISSUED;5022;A;
AT0000A1QE00;Gutmann Euro Bond Opportunities (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;7788258;5299000NEI7CPXZ98L29;ISSUED;2121;V;
AT0000A1QE18;Gutmann Euro Short-Term Bonds (T) (EUR);Gutmann Kapitalanlagegesellschaft m.b.H;7011083;529900MNWN663V7ECM57;ISSUED;2668;A;
AT0000A1QE26;Gutmann USD Bonds Strategy (USD) (T);Gutmann Kapitalanlagegesellschaft m.b.H;10035834;529900XRS3QDR31MEL86;ISSUED;4122;A;
AT0000A1QE34;Gutmann Global Inflation-Linked Bonds (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;10160418;5299003Z1C17YJFR0E18;ISSUED;4151;V;
AT0000A1QE59;Gutmann Euro Corporate Bonds (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;15931137;529900JVSPUUN2F9QJ18;ISSUED;4415;V;
AT0000A1QE67;Gutmann Global Dividends (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;10190805;529900PN2XO0C0EZEA47;ISSUED;4161;A;
AT0000A1QE75;Gutmann Global Dividends (USD) (T);Gutmann Kapitalanlagegesellschaft m.b.H;10190805;529900PN2XO0C0EZEA47;ISSUED;4161;V;
AT0000A1QPB0;R 280-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;20017170;529900SJUBQPGUX5WJ26;ISSUED;5024;A;
AT0000A1R046;MCCFB-Fonds;3 Banken-Generali Investment-Gesellschaft m.b.H.;20027230;5299005Q4WS2ZAGNGR98;ISSUED;5025;A;
AT0000A1TB34;Raiffeisen-Nachhaltigkeit-EmergingMarkets-Aktien (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;20050283;5299003FV3YCM9G40M60;ISSUED;5028;A;
AT0000A1TB42;Raiffeisen-Nachhaltigkeit-EmergingMarkets-Aktien (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;20050283;5299003FV3YCM9G40M60;ISSUED;5028;A;
AT0000A1TB59;Raiffeisen-Nachhaltigkeit-EmergingMarkets-Aktien (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;20050283;5299003FV3YCM9G40M60;ISSUED;5028;A;
AT0000A1TB67;Raiffeisen-Nachhaltigkeit-EmergingMarkets-Aktien (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;20050283;5299003FV3YCM9G40M60;ISSUED;5028;A;
AT0000A1TB75;Raiffeisen-Nachhaltigkeit-EmergingMarkets-Aktien (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;20050283;5299003FV3YCM9G40M60;ISSUED;5028;A;
AT0000A1TB83;Raiffeisen-Nachhaltigkeit-EmergingMarkets-Aktien (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;20050283;5299003FV3YCM9G40M60;ISSUED;5028;A;
AT0000A1TBD0;GF 125;Amundi Austria GmbH;20053118;2138008VFLPNZ122HE36;ISSUED;5029;A;
AT0000A1TDJ3;Constantia Multi Invest 149;LLB Invest Kapitalanlagegesellschaft m.b.H.;20060505;529900B63ZUQFENLOT77;ISSUED;5030;A;
AT0000A1TM31;SparTrust 44 (A2);IQAM Invest GmbH;17261597;529900SKV6VKAA382W22;ISSUED;4683;A;
AT0000A1TM56;Raiffeisen-ESG-Euro-Rent (RZ) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7010982;529900PZK2TF51BYLY95;ISSUED;388;A;
AT0000A1TM64;Raiffeisen-ESG-Euro-Rent (RZ) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7010982;529900PZK2TF51BYLY95;ISSUED;388;A;
AT0000A1TM72;Raiffeisen-ESG-Euro-Rent (RZ) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7010982;529900PZK2TF51BYLY95;ISSUED;388;A;
AT0000A1TM80;Raiffeisen-Global-Fundamental-Rent (RZ) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10091513;529900B20C6DUSXMUG84;ISSUED;4136;A;
AT0000A1TM98;Raiffeisen-Global-Fundamental-Rent (RZ) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10091513;529900B20C6DUSXMUG84;ISSUED;4136;A;
AT0000A1TMB1;Raiffeisen-Nachhaltigkeit-Rent (RZ) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;3249310;52990011HIMFWWQLM242;ISSUED;158;A;
AT0000A1TMC9;Raiffeisen-Nachhaltigkeit-Rent (RZ) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;3249310;52990011HIMFWWQLM242;ISSUED;158;A;
AT0000A1TME5;Raiffeisen-Rent-Flexibel (RZ) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10920919;529900542HTJN17FJA90;ISSUED;4298;A;
AT0000A1TMF2;Raiffeisen-Rent-Flexibel (RZ) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10920919;529900542HTJN17FJA90;ISSUED;4298;A;
